Ranking,Company,Nation,HQ,Sector,Industry,Web
1,Walmart,U.S.,"Bentonville, Ark.",Retailing,General Merchandisers,www.stock.walmart.com
2,State Grid,China,Beijing,Energy,Utilities,www.sgcc.com.cn
3,Sinopec Group,China,Beijing,Energy,Petroleum Refining,www.sinopec.com
4,China National Petroleum,China,Beijing,Energy,Petroleum Refining,www.cnpc.com.cn
5,Royal Dutch Shell,Netherlands,The Hague,Energy,Petroleum Refining,http://www.shell.com
6,Toyota Motor,Japan,"Toyota, Japan",Motor Vehicles & Parts,Motor Vehicles & Parts,www.toyota-global.com
7,Volkswagen,Germany,"Wolfsburg, Germany",Motor Vehicles & Parts,Motor Vehicles & Parts,http://www.volkswagenag.com
8,BP,Britain,London,Energy,Petroleum Refining,www.bp.com
9,Exxon Mobil,U.S.,"Irving, Texas",Energy,Petroleum Refining,www.exxonmobil.com
10,Berkshire Hathaway,U.S.,Omaha,Financials,Insurance: Property and Casualty (Stock),www.berkshirehathaway.com
11,Apple,U.S.,"Cupertino, Calif.",Technology,"Computers, Office Equipment",www.apple.com
12,Samsung Electronics,South Korea,"Suwon, South Korea",Technology,"Electronics, Electrical Equip.",www.samsung.com
13,McKesson,U.S.,San Francisco,Wholesalers,Wholesalers: Health Care,www.mckesson.com
14,Glencore,Switzerland,"Baar, Switzerland",Energy,"Mining, Crude-Oil Production",www.glencore.com
15,UnitedHealth Group,U.S.,"Minnetonka, Minn.",Health Care,Health Care: Insurance and Managed Care,www.unitedhealthgroup.com
16,Daimler,Germany,"Stuttgart, Germany",Motor Vehicles & Parts,Motor Vehicles & Parts,www.daimler.com
17,CVS Health,U.S.,"Woonsocket, R.I.",Health Care,Health Care: Pharmacy and Other Services,www.cvshealth.com
18,Amazon.com,U.S.,Seattle,Technology,Internet Services and Retailing,www.amazon.com
19,EXOR Group,Netherlands,Amsterdam,Financials,Diversified Financials,www.exor.com
20,AT&T,U.S.,Dallas,Telecommunications,Telecommunications,www.att.com
21,General Motors,U.S.,Detroit,Motor Vehicles & Parts,Motor Vehicles & Parts,www.gm.com
22,Ford Motor,U.S.,"Dearborn, Mich.",Motor Vehicles & Parts,Motor Vehicles & Parts,www.corporate.ford.com
23,China State Construction Engineering,China,Beijing,Engineering & Construction,Engineering & Construction,www.cscec.com
24,Hon Hai Precision Industry,Taiwan,"New Taipei City, Taiwan",Technology,"Electronics, Electrical Equip.",www.foxconn.com
25,AmerisourceBergen,U.S.,"Chesterbrook, Pa.",Wholesalers,Wholesalers: Health Care,www.amerisourcebergen.com
26,Industrial & Commercial Bank of China,China,Beijing,Financials,Banks: Commercial and Savings,www.icbc-ltd.com
