Word,International,Regulation,Corporate,Law,Market,Tech
acquire,0.0,0.0,0.0,0.0,1.17,0.0
acquires,0.0,0.0,0.0,0.0,1.0,0.0
add,0.0,0.0,1.0,0.0,0.0,0.0
ai,0.0,0.0,0.0,0.0,1.33,0.0
ambassador,1.0,0.0,0.0,0.0,0.0,0.0
ambition,0.0,0.0,0.0,0.0,0.0,1.03
android,0.0,0.0,1.0,0.0,0.0,1.0
announces,0.0,0.0,0.0,0.0,0.0,1.03
argue,0.0,0.0,1.0,0.0,0.0,0.0
arm,1.0,0.0,0.0,1.0,0.0,0.0
attack,0.0,0.0,0.0,0.0,0.0,1.0
authority,0.0,1.0,0.0,0.0,0.0,0.0
autonomy,0.0,0.0,1.0,0.0,0.0,0.0
back,0.0,0.0,0.0,0.0,0.0,1.0
ban,1.88,1.38,2.0,0.0,0.0,1.19
bank,0.0,1.0,0.0,0.0,0.0,1.0
battery,0.0,0.0,0.0,0.0,0.0,1.05
bitcoin,0.0,0.0,0.0,1.0,0.0,1.03
block,1.0,0.0,0.0,0.0,0.0,0.0
blockchain,0.0,0.0,0.0,0.0,1.0,1.11
boe,0.0,0.0,0.0,0.0,0.0,1.0
break,0.0,0.0,0.0,0.0,0.0,1.0
brother,0.0,0.0,0.0,1.0,0.0,0.0
budget,0.0,1.0,0.0,0.0,0.0,0.0
build,1.0,0.0,1.0,1.0,1.0,0.0
buy,0.0,0.0,0.0,0.0,1.0,0.0
call,0.0,1.15,1.0,0.0,0.0,1.05
canada,1.0,0.0,0.0,0.0,0.0,0.0
cancel,0.0,0.0,0.0,0.0,0.0,1.03
candidate,1.0,0.0,0.0,0.0,0.0,0.0
car,0.0,0.0,0.0,0.0,1.0,0.0
carney,0.0,0.0,0.0,0.0,0.0,1.0
case,0.0,1.15,0.0,1.25,0.0,0.0
ceo,1.12,0.0,1.23,0.0,0.0,0.0
chief,0.0,1.15,0.0,0.0,0.0,0.0
china,2.0,1.08,1.38,0.0,0.0,0.0
chip,0.0,0.0,1.0,0.0,0.0,0.0
clegg,0.0,0.0,1.0,0.0,0.0,0.0
coin,0.0,1.0,0.0,0.0,0.0,0.0
commerce,0.0,0.0,0.0,1.12,0.0,0.0
complaint,0.0,0.0,0.0,1.0,0.0,0.0
concern,0.0,0.0,0.0,0.0,0.0,1.0
congress,0.0,1.0,0.0,0.0,0.0,0.0
consider,0.0,1.0,0.0,0.0,0.0,0.0
contract,0.0,0.0,1.23,0.0,1.5,1.0
contractor,0.0,1.0,0.0,0.0,0.0,0.0
control,0.0,0.0,1.0,0.0,0.0,0.0
cook,1.0,0.0,0.0,0.0,0.0,0.0
cost,1.0,0.0,1.0,0.0,0.0,0.0
court,1.12,0.0,1.08,1.75,0.0,1.0
creator,0.0,0.0,0.0,1.0,0.0,0.0
crosshairs,0.0,1.0,0.0,0.0,0.0,0.0
crunch,0.0,0.0,0.0,0.0,0.0,1.0
cryptocurrency,1.25,1.62,1.23,0.0,0.0,2.0
currency,0.0,0.0,1.15,0.0,0.0,0.0
cut,0.0,0.0,1.15,0.0,0.0,1.0
deal,0.0,1.0,1.0,0.0,1.17,0.0
debut,0.0,0.0,0.0,0.0,0.0,1.03
defense,0.0,0.0,0.0,0.0,1.0,0.0
delay,0.0,1.0,0.0,0.0,0.0,1.14
demand,0.0,1.0,0.0,0.0,0.0,1.0
democrat,0.0,1.08,0.0,0.0,0.0,0.0
department,0.0,1.08,0.0,1.12,0.0,0.0
design,0.0,0.0,0.0,0.0,0.0,1.0
detail,0.0,1.08,0.0,0.0,0.0,1.0
developer,0.0,0.0,1.08,1.0,0.0,1.03
device,0.0,0.0,1.0,0.0,0.0,0.0
dispute,1.0,0.0,0.0,1.0,0.0,0.0
doc,0.0,0.0,1.0,0.0,0.0,0.0
document,0.0,1.15,0.0,0.0,0.0,0.0
doj,0.0,1.23,0.0,0.0,1.17,0.0
doubt,0.0,0.0,1.0,0.0,0.0,0.0
dozen,0.0,0.0,1.0,0.0,0.0,0.0
drive,0.0,0.0,0.0,0.0,2.0,0.0
drop,0.0,0.0,0.0,0.0,1.0,0.0
dutch,0.0,0.0,0.0,1.0,0.0,0.0
ease,1.0,1.0,0.0,0.0,0.0,0.0
effort,0.0,1.0,0.0,0.0,0.0,0.0
enforcement,0.0,1.0,0.0,0.0,0.0,0.0
eu,0.0,1.08,0.0,1.0,0.0,0.0
evidence,1.0,0.0,0.0,0.0,0.0,0.0
executive,0.0,0.0,1.0,0.0,0.0,0.0
exist,0.0,0.0,1.0,0.0,0.0,0.0
expect,1.12,0.0,1.0,0.0,0.0,0.0
expert,0.0,0.0,0.0,0.0,0.0,1.0
export,0.0,0.0,0.0,1.0,0.0,1.0
express,0.0,0.0,1.08,0.0,1.17,0.0
extradition,1.25,0.0,0.0,1.0,0.0,0.0
face,0.0,1.0,0.0,0.0,0.0,0.0
fake,0.0,1.0,0.0,0.0,0.0,0.0
fall,0.0,1.0,0.0,0.0,0.0,0.0
fear,1.0,1.0,1.0,0.0,0.0,0.0
feature,0.0,0.0,1.08,0.0,0.0,1.0
fight,0.0,0.0,1.0,0.0,0.0,0.0
find,0.0,0.0,0.0,1.0,0.0,1.0
fire,0.0,1.0,0.0,0.0,0.0,0.0
flaw,0.0,0.0,0.0,0.0,0.0,1.0
focus,0.0,0.0,0.0,0.0,0.0,1.0
follow,0.0,0.0,1.0,0.0,1.0,0.0
forget,0.0,0.0,1.0,0.0,0.0,0.0
founder,0.0,0.0,1.0,0.0,0.0,0.0
fraud,0.0,0.0,1.0,1.12,0.0,0.0
frighten,0.0,0.0,1.0,0.0,0.0,0.0
ftc,0.0,1.31,0.0,0.0,0.0,0.0
fund,0.0,0.0,0.0,1.0,0.0,0.0
galaxy,0.0,0.0,0.0,0.0,0.0,1.08
game,0.0,0.0,1.08,0.0,0.0,0.0
