Words,Scores
congress,2
court,2
Department of Justice,2
Federal Communications Commission,2
Federal Trade Commision,2
government,2
Justice Department,2
police,2
senate,2
World Trade Organization,2
agreement,2
appeal,2
approve,2
authority,2
ban,2
block,2
copyright,2
enforce,2
fine,2
halt,2
investigate,2
jurisdiction,2
law,2
lawmaker,2
lawsuit,2
lawyer,2
license,2
litigation,2
measure,2
oversight,2
patent,2
petition,2
political,2
practice,2
probe,2
prohibit,2
refuse,2
regulation,2
regulator,2
restriction,2
rule,2
sanction,2
shutdown,2
sue,2
surveillance,2
trustbuster,2
watchdog,2
release,2
launch,2
unveil,2
tease,2
teaser,2
arrive,2
debut,2
unleash,2
discount,2
review,2
acquire,2
acquisition,2
"Advance
Customs
Valuation
Arrangement",2
antitrust,2
asset transfer,2
audit,2
cartel,2
competitive,2
compliance,2
consumer,2
deal,2
due dilligence,2
fair,2
 trade,2
Free Trande Agreement,2
intellectual property right,2
joint venture,2
Merger and Acquisition,2
market dominance,2
merger,2
monopoly,2
recall,2
share transfer,2
spin off,2
tariff,2
tax,2
taxpayer,2
trade remedy,2
unfair affiliate transaction,2
waiver,2
Post merger integration,2
cryptocurrency,2
blockchain,2
against,2
risk,2
raid,2
delay,2
betray,2
cancel,2
defy,2
debate,2
break,2
breach,2
security,2
privacy,2
hacker,2
emergency,2
exploit,2
flaw,2
problem,2
uncertain,2
