Words,Category,Topic
china,惫力,Topic 0
technology,惫力,Topic 0
minister,惫力,Topic 0
trade,惫力,Topic 0
state,惫力,Topic 0
network,惫力,Topic 0
trump,惫力,Topic 0
ban,惫力,Topic 0
security,惫力,Topic 0
report,惫力,Topic 0
president,惫力,Topic 0
country,惫力,Topic 0
expect,惫力,Topic 0
launch,惫力,Topic 0
equipment,惫力,Topic 0
government,惫力,Topic 1
technology,惫力,Topic 1
bank,惫力,Topic 1
information,惫力,Topic 1
comment,惫力,Topic 1
group,惫力,Topic 1
question,惫力,Topic 1
law,惫力,Topic 1
world,惫力,Topic 1
security,惫力,Topic 1
report,惫力,Topic 1
trade,惫力,Topic 1
base,惫力,Topic 1
service,惫力,Topic 1
threat,惫力,Topic 1
