Words,Category,Topic
government,过/盒里/家价,Topic 0
technology,过/盒里/家价,Topic 0
law,过/盒里/家价,Topic 0
security,过/盒里/家价,Topic 0
china,过/盒里/家价,Topic 0
department,过/盒里/家价,Topic 0
state,过/盒里/家价,Topic 0
agency,过/盒里/家价,Topic 0
trade,过/盒里/家价,Topic 0
statement,过/盒里/家价,Topic 0
lawsuit,过/盒里/家价,Topic 0
issue,过/盒里/家价,Topic 0
claim,过/盒里/家价,Topic 0
network,过/盒里/家价,Topic 0
question,过/盒里/家价,Topic 0
court,过/盒里/家价,Topic 1
case,过/盒里/家价,Topic 1
lawsuit,过/盒里/家价,Topic 1
law,过/盒里/家价,Topic 1
judge,过/盒里/家价,Topic 1
order,过/盒里/家价,Topic 1
complaint,过/盒里/家价,Topic 1
rule,过/盒里/家价,Topic 1
lawyer,过/盒里/家价,Topic 1
state,过/盒里/家价,Topic 1
issue,过/盒里/家价,Topic 1
information,过/盒里/家价,Topic 1
sue,过/盒里/家价,Topic 1
question,过/盒里/家价,Topic 1
right,过/盒里/家价,Topic 1
