Words,Category,Topic
report,시장,Topic 0
market,시장,Topic 0
share,시장,Topic 0
launch,시장,Topic 0
service,시장,Topic 0
acquire,시장,Topic 0
technology,시장,Topic 0
focus,시장,Topic 0
lead,시장,Topic 0
project,시장,Topic 0
base,시장,Topic 0
world,시장,Topic 0
continue,시장,Topic 0
plan,시장,Topic 0
result,시장,Topic 0
contract,시장,Topic 1
product,시장,Topic 1
price,시장,Topic 1
market,시장,Topic 1
customer,시장,Topic 1
deal,시장,Topic 1
statement,시장,Topic 1
service,시장,Topic 1
state,시장,Topic 1
technology,시장,Topic 1
expect,시장,Topic 1
trade,시장,Topic 1
maker,시장,Topic 1
result,시장,Topic 1
tech,시장,Topic 1
