Words,Category,Topic
blockchain,제품/기술/서비스,Topic 0
cryptocurrency,제품/기술/서비스,Topic 0
currency,제품/기술/서비스,Topic 0
money,제품/기술/서비스,Topic 0
payment,제품/기술/서비스,Topic 0
bank,제품/기술/서비스,Topic 0
association,제품/기술/서비스,Topic 0
project,제품/기술/서비스,Topic 0
transaction,제품/기술/서비스,Topic 0
world,제품/기술/서비스,Topic 0
service,제품/기술/서비스,Topic 0
wallet,제품/기술/서비스,Topic 0
bitcoin,제품/기술/서비스,Topic 0
network,제품/기술/서비스,Topic 0
member,제품/기술/서비스,Topic 0
service,제품/기술/서비스,Topic 1
developer,제품/기술/서비스,Topic 1
security,제품/기술/서비스,Topic 1
device,제품/기술/서비스,Topic 1
privacy,제품/기술/서비스,Topic 1
report,제품/기술/서비스,Topic 1
information,제품/기술/서비스,Topic 1
offer,제품/기술/서비스,Topic 1
product,제품/기술/서비스,Topic 1
ban,제품/기술/서비스,Topic 1
address,제품/기술/서비스,Topic 1
launch,제품/기술/서비스,Topic 1
customer,제품/기술/서비스,Topic 1
option,제품/기술/서비스,Topic 1
feature,제품/기술/서비스,Topic 1
