Words,Category,Topic
report,기업,Topic 0
share,기업,Topic 0
platform,기업,Topic 0
group,기업,Topic 0
policy,기업,Topic 0
right,기업,Topic 0
issue,기업,Topic 0
service,기업,Topic 0
quarter,기업,Topic 0
market,기업,Topic 0
location,기업,Topic 0
office,기업,Topic 0
analyst,기업,Topic 0
content,기업,Topic 0
revenue,기업,Topic 0
product,기업,Topic 1
service,기업,Topic 1
line,기업,Topic 1
plan,기업,Topic 1
china,기업,Topic 1
thing,기업,Topic 1
report,기업,Topic 1
production,기업,Topic 1
world,기업,Topic 1
country,기업,Topic 1
build,기업,Topic 1
design,기업,Topic 1
stream,기업,Topic 1
project,기업,Topic 1
technology,기업,Topic 1
