Words,Category,Topic
privacy,痹力/痹力扁包,Topic 0
security,痹力/痹力扁包,Topic 0
investigation,痹力/痹力扁包,Topic 0
information,痹力/痹力扁包,Topic 0
report,痹力/痹力扁包,Topic 0
law,痹力/痹力扁包,Topic 0
comment,痹力/痹力扁包,Topic 0
issue,痹力/痹力扁包,Topic 0
service,痹力/痹力扁包,Topic 0
trade,痹力/痹力扁包,Topic 0
technology,痹力/痹力扁包,Topic 0
statement,痹力/痹力扁包,Topic 0
respond,痹力/痹力扁包,Topic 0
tech,痹力/痹力扁包,Topic 0
commission,痹力/痹力扁包,Topic 0
trump,痹力/痹力扁包,Topic 1
complaint,痹力/痹力扁包,Topic 1
house,痹力/痹力扁包,Topic 1
platform,痹力/痹力扁包,Topic 1
president,痹力/痹力扁包,Topic 1
technology,痹力/痹力扁包,Topic 1
report,痹力/痹力扁包,Topic 1
order,痹力/痹力扁包,Topic 1
policy,痹力/痹力扁包,Topic 1
tech,痹力/痹力扁包,Topic 1
remove,痹力/痹力扁包,Topic 1
administration,痹力/痹力扁包,Topic 1
statement,痹力/痹力扁包,Topic 1
online,痹力/痹力扁包,Topic 1
commission,痹力/痹力扁包,Topic 1
