Word,International,Regulation,Corporate,Law,Market,Tech
acquire,0.0,0.0,0.0,0.0,0.5,0.0
address,0.0,0.0,0.0,0.0,0.0,0.5
administration,0.0,0.5,0.0,0.0,0.0,0.0
agency,0.0,0.0,0.0,0.5,0.0,0.0
analyst,0.0,0.0,0.5,0.0,0.0,0.0
appear,0.0,0.0,0.5,0.0,0.0,0.0
association,0.0,0.0,0.0,0.0,0.0,0.5
attack,0.0,0.0,0.0,0.0,0.0,0.5
ban,0.5,0.5,0.5,0.0,0.0,0.5
bank,0.5,0.5,0.0,0.0,0.0,1.0
base,0.5,0.0,0.0,0.0,0.5,0.5
bitcoin,0.0,0.0,0.0,0.0,0.0,1.0
blockchain,0.0,0.0,0.0,0.0,0.0,1.0
build,0.0,0.0,0.5,0.0,0.0,0.0
buy,0.0,0.0,0.5,0.0,0.0,0.0
case,0.0,0.5,0.0,0.5,0.0,0.0
change,0.0,0.0,0.5,0.0,0.0,0.0
china,1.5,0.5,1.0,0.5,0.0,0.0
chip,0.0,0.0,0.5,0.0,0.0,0.0
claim,0.0,0.0,0.0,0.5,0.0,0.0
comment,0.5,0.5,0.5,0.0,0.0,0.0
commission,0.0,1.5,0.0,0.0,0.0,0.0
committee,0.0,0.5,0.0,0.0,0.0,0.0
competition,0.0,0.5,0.0,0.0,0.0,0.0
complaint,0.0,0.5,0.0,0.5,0.0,0.0
computer,0.0,0.0,0.0,0.0,0.0,0.5
concern,0.0,0.5,0.0,0.0,0.0,0.0
consumer,0.0,0.5,1.0,0.0,0.0,0.0
content,0.0,0.5,0.5,0.0,0.0,0.0
continue,0.0,0.0,0.0,0.0,0.5,0.0
contract,0.0,0.0,0.0,0.0,0.5,0.0
control,0.0,0.0,0.5,0.0,0.0,0.0
country,0.5,0.5,0.5,0.0,0.0,0.0
court,0.0,0.5,0.0,0.5,0.0,0.0
cryptocurrency,0.0,0.5,0.0,0.0,0.0,1.0
currency,0.0,0.5,0.0,0.0,0.0,0.5
customer,0.0,0.0,1.5,0.0,0.5,1.0
deal,0.0,0.0,0.5,0.0,0.5,0.0
department,0.0,0.5,0.0,0.5,0.0,0.0
design,0.0,0.0,0.5,0.0,0.0,1.0
developer,0.0,0.0,0.5,0.0,0.0,0.5
device,0.0,0.0,1.0,0.0,0.0,2.0
equipment,1.5,0.0,0.0,0.0,0.0,0.0
expect,0.5,0.0,0.0,0.0,0.5,0.0
feature,0.0,0.0,1.0,0.0,0.0,1.0
finance,0.0,0.5,0.0,0.0,0.0,0.0
focus,0.0,0.0,0.0,0.0,0.5,0.0
ftc,0.0,0.5,0.0,0.0,0.0,0.0
galaxy,0.0,0.0,0.0,0.0,0.0,0.5
game,0.0,0.0,0.0,0.0,0.0,0.5
giant,0.0,0.5,0.0,0.0,0.0,0.0
government,1.5,1.0,0.5,0.5,0.0,0.0
group,0.5,1.0,1.0,0.0,0.0,0.5
home,0.0,0.0,0.0,0.0,0.0,0.5
house,0.0,0.5,0.0,0.0,0.0,0.0
image,0.0,0.0,0.5,0.0,0.0,0.0
information,0.5,1.0,0.5,0.5,0.0,1.0
internet,0.0,0.0,0.0,0.0,0.0,0.5
investigation,0.0,1.0,0.0,0.0,0.0,0.0
issue,0.0,0.5,0.5,1.0,0.0,1.0
judge,0.0,0.0,0.0,0.5,0.0,0.0
justice,0.0,0.5,0.0,0.0,0.0,0.0
know,0.0,0.0,0.0,0.0,0.0,0.5
launch,0.5,0.0,0.0,0.0,0.5,1.0
law,0.5,2.0,0.0,1.0,0.0,0.0
lawsuit,0.0,0.0,0.0,1.0,0.0,0.0
lawyer,0.0,0.0,0.0,0.5,0.0,0.0
lead,0.0,0.0,0.0,0.0,0.5,0.0
line,0.0,0.0,0.5,0.0,0.0,0.5
location,0.0,0.0,0.5,0.0,0.0,0.0
maker,0.0,0.0,0.0,0.0,0.5,0.0
market,0.0,1.5,1.5,0.0,1.0,0.0
member,0.0,0.0,0.0,0.0,0.0,0.5
minister,0.5,0.0,0.0,0.0,0.0,0.0
money,0.0,0.5,0.0,0.0,0.0,1.0
