Company,Nation
Walmart,U.S.
State Grid,China
Sinopec Group,China
China National Petroleum,China
Royal Dutch Shell,Netherlands
Toyota Motor,Japan
Volkswagen,Germany
BP,Britain
Exxon Mobil,U.S.
Berkshire Hathaway,U.S.
McKesson,U.S.
Glencore,Switzerland
UnitedHealth Group,U.S.
Daimler,Germany
CVS Health,U.S.
EXOR Group,Netherlands
AT&T,U.S.
General Motors,U.S.
Ford Motor,U.S.
China State Construction Engineering,China
Hon Hai Precision Industry,Taiwan
AmerisourceBergen,U.S.
Industrial & Commercial Bank of China,China
AXA,France
Ping An Insurance,China
Honda Motor,Japan
China Construction Bank,China
Trafigura Group,Singapore
Chevron,U.S.
Cardinal Health,U.S.
Costco,U.S.
SAIC Motor,China
Verizon,U.S.
Allianz,Germany
Kroger,U.S.
Agricultural Bank of China,China
General Electric,U.S.
China Life Insurance,China
Walgreens Boots Alliance,U.S.
BNP Paribas,France
Japan Post Holdings,Japan
Bank of China,China
JPMorgan Chase & Co.,U.S.
Fannie Mae,U.S.
Gazprom,Russia
Prudential,Britain
BMW Group,Germany
China Mobile Communications,China
Nissan Motor,Japan
Nippon Telegraph & Telephone,Japan
China Railway Engineering Group,China
Home Depot,U.S.
China Railway Construction,China
Assicurazioni Generali,Italy
Bank of America Corp.,U.S.
Express Scripts Holding,U.S.
Wells Fargo,U.S.
Lukoil,Russia
Boeing,U.S.
Dongfeng Motor,China
Siemens,Germany
Phillips 66,U.S.
Carrefour,France
Nestle,Switzerland
Anthem,U.S.
Petrobras,Brazil
Valero Energy,U.S.
Bosch Group,Germany
Citigroup,U.S.
Banco Santander,Spain
Hyundai Motor,South Korea
Comcast,U.S.
Deutsche Telekom,Germany
Credit Agricole,France
Enel,Italy
SoftBank Group,Japan
China Resources,China
China National Offshore Oil,China
Uniper,Germany
ENI,Italy
HSBC Holdings,Britain
China Communications Construction,China
Electricite de France,France
State Farm Insurance Cos.,U.S.
Pacific Construction Group,China
Sinochem Group,China
JXTG Holdings,Japan
Johnson & Johnson,U.S.
China Energy Investment,China
Tesco,Britain
AEON,Japan
Engie,France
Airbus Group,Netherlands
Freddie Mac,U.S.
Pemex,Mexico
Peugeot,France
China Minmetals,China
China Southern Power Grid,China
Amer International Group,China
BASF,Germany
China Post Group,China
Panasonic,Japan
Rosneft Oil,Russia
People's Insurance Co. of China,China
Royal Ahold Delhaize,Netherlands
Deutsche Post DHL Group,Germany
Munich Re Group,Germany
Societe Generale,France
COFCO,China
U.S. Postal Service,U.S.
