Magazine,Date,Author,Title,Url,Company
abc-news,2019-07-22T09:17:45Z,Kelly Terez and Mark Osborne,'Start Here': Iran seizes British tanker and Puerto Rico gov will not seek reelection,https://abcnews.go.com/US/start-here-tensions-rise-iran-seizes-british-tanker-puerto/story?id=64437812,Apple
abc-news,2019-07-23T09:04:34Z,Kelly Terez and Mark Osborne,'Start Here': Iran says it arrested 17 CIA spies and bipartisan budget deal reached,https://abcnews.go.com/US/start-here-iran-arrested-17-cia-spies-congress-reaches/story?id=64485379,Apple
abc-news,2019-07-22T13:43:39Z,The Associated Press,"Markets Right Now: Tech, energy lead early stock gains",https://abcnews.go.com/Business/wireStory/markets-now-tech-energy-lead-early-stock-gains-64483876,Apple
abc-news,2019-07-22T20:47:35Z,The Associated Press,How major US stock indexes fared Monday,https://abcnews.go.com/Business/wireStory/major-us-stock-indexes-fared-monday-64494200,Apple
abc-news,2019-07-22T14:15:53Z,The Associated Press,Technology companies push early US stock gains,https://abcnews.go.com/Business/wireStory/technology-companies-push-early-us-stock-gains-64484311,Apple
abc-news,2019-07-23T06:45:28Z,The Associated Press,Asian stocks rise on hopes for US-China trade talks,https://abcnews.go.com/Business/wireStory/asian-stocks-rise-hopes-us-china-trade-talks-64502274,Apple
abc-news,2019-07-22T15:53:04Z,The Associated Press,"Review: Looking back at Mike Wallace, who made 'em squirm",https://abcnews.go.com/Entertainment/wireStory/review-back-mike-wallace-made-em-squirm-64487153,Apple
abc-news,2019-07-22T21:48:17Z,The Associated Press,Business Highlights,https://abcnews.go.com/Business/wireStory/business-highlights-64495797,Apple
abc-news,2019-07-22T09:17:45Z,Kelly Terez and Mark Osborne,'Start Here': Iran seizes British tanker and Puerto Rico gov will not seek reelection,https://abcnews.go.com/US/start-here-tensions-rise-iran-seizes-british-tanker-puerto/story?id=64437812,Google
abc-news,2019-07-23T09:04:34Z,Kelly Terez and Mark Osborne,'Start Here': Iran says it arrested 17 CIA spies and bipartisan budget deal reached,https://abcnews.go.com/US/start-here-iran-arrested-17-cia-spies-congress-reaches/story?id=64485379,Google
abc-news,2019-07-22T00:03:00Z,Karma Allen,Teen inmates allegedly stage fight to break out of juvenile center - ABC News,https://abcnews.go.com/US/florida-teens-allegedly-stage-fight-break-juvenile-center/story?id=64472655,Google
abc-news,2019-07-23T05:04:17Z,,The Bachelorette | Hannah Sends Luke P. Home For the Third Time - ABC,https://abc.go.com/shows/the-bachelorette/video/vdka11476532,Google
abc-news,2019-07-22T21:25:28Z,,Most Recent Videos - ABC,https://abc.go.com/playlists/pl551836386/video/vdka11471634,Google
abc-news,2019-07-23T05:04:17Z,,The Bachelorette | Devin Interrupts Luke's Time in the Hot Seat - ABC,https://abc.go.com/shows/the-bachelorette/video/vdka11476925,Google
abc-news,2019-07-22T23:24:41Z,The Associated Press,"Trump meets with chipmakers on Huawei, other economic issues",https://abcnews.go.com/Technology/wireStory/trump-meets-chipmakers-huawei-economic-issues-64497021,Google
abc-news,2019-07-22T15:55:56Z,The Associated Press,Microsoft pays $25 million to settle corruption charges,https://abcnews.go.com/Technology/wireStory/microsoft-pays-25-million-settle-corruption-charges-64487199,Microsoft
abc-news,2019-07-22T21:48:17Z,The Associated Press,Business Highlights,https://abcnews.go.com/Business/wireStory/business-highlights-64495797,Microsoft
abc-news,2019-07-22T14:15:53Z,The Associated Press,Technology companies push early US stock gains,https://abcnews.go.com/Business/wireStory/technology-companies-push-early-us-stock-gains-64484311,Microsoft
abc-news,2019-07-22T15:23:02Z,The Associated Press,What consumers should know about Equifax $700M settlement,https://abcnews.go.com/Technology/wireStory/consumers-equifax-700m-settlement-64486454,IBM
abc-news,2019-07-22T23:24:41Z,The Associated Press,"Trump meets with chipmakers on Huawei, other economic issues",https://abcnews.go.com/Technology/wireStory/trump-meets-chipmakers-huawei-economic-issues-64497021,Intel
abc-news,2019-07-22T20:47:35Z,The Associated Press,How major US stock indexes fared Monday,https://abcnews.go.com/Business/wireStory/major-us-stock-indexes-fared-monday-64494200,Intel
abc-news,2019-07-22T14:15:53Z,The Associated Press,Technology companies push early US stock gains,https://abcnews.go.com/Business/wireStory/technology-companies-push-early-us-stock-gains-64484311,Intel
abc-news,2019-07-23T06:45:28Z,The Associated Press,Asian stocks rise on hopes for US-China trade talks,https://abcnews.go.com/Business/wireStory/asian-stocks-rise-hopes-us-china-trade-talks-64502274,Intel
abc-news,2019-07-22T21:48:17Z,The Associated Press,Business Highlights,https://abcnews.go.com/Business/wireStory/business-highlights-64495797,Intel
abc-news,2019-07-22T23:24:41Z,The Associated Press,"Trump meets with chipmakers on Huawei, other economic issues",https://abcnews.go.com/Technology/wireStory/trump-meets-chipmakers-huawei-economic-issues-64497021,Cisco
abc-news,2019-07-22T18:30:55Z,Elizabeth Thomas,"AOC targeted on Facebook, police officer allegedly suggests she should be shot",https://abcnews.go.com/Politics/aoc-squad-targeted-facebook-post-police-officer-allegedly/story?id=64483089,Facebook
abc-news,2019-07-22T09:17:45Z,Kelly Terez and Mark Osborne,'Start Here': Iran seizes British tanker and Puerto Rico gov will not seek reelection,https://abcnews.go.com/US/start-here-tensions-rise-iran-seizes-british-tanker-puerto/story?id=64437812,Facebook
abc-news,2019-07-22T21:06:22Z,Emily Shapiro,"Transgender woman found shot dead on side of road, motive unknown",https://abcnews.go.com/US/29-year-transgender-woman-found-shot-dead-side/story?id=64481708,Facebook
abc-news,2019-07-22T19:01:44Z,Bill Hutchinson and Victor Oquendo,'We need him out': Protesters demand Puerto Rico governor's resignation,https://abcnews.go.com/US/tens-thousands-protesters-shut-freeway-puerto-rico-demanding/story?id=64483627,Facebook
abc-news,2019-07-23T09:04:34Z,Kelly Terez and Mark Osborne,'Start Here': Iran says it arrested 17 CIA spies and bipartisan budget deal reached,https://abcnews.go.com/US/start-here-iran-arrested-17-cia-spies-congress-reaches/story?id=64485379,Facebook
abc-news,2019-07-22T11:28:56Z,The Associated Press,Louisiana officer suggested Ocasio-Cortez should be shot,https://abcnews.go.com/US/wireStory/louisiana-officer-suggested-ocasio-cortez-shot-64481161,Facebook
abc-news,2019-07-22T02:16:42Z,The Associated Press,"GOP group removes post calling congresswomen ""Jihad Squad""",https://abcnews.go.com/US/wireStory/gop-group-removes-post-calling-congresswomen-jihad-squad-64476378,Facebook
abc-news,2019-07-22T20:24:28Z,The Associated Press,Police investigate if Tesla was self-driving during crash,https://abcnews.go.com/Technology/wireStory/police-investigate-tesla-driving-crash-64493723,Facebook
abc-news,2019-07-22T01:58:26Z,The Associated Press,The Latest: Power restored to about 30% percent of customers,https://abcnews.go.com/US/wireStory/latest-power-restored-30-percent-customers-64476046,Facebook
abc-news,2019-07-22T01:05:05Z,The Associated Press,Utility says most of a Hawaiian island is without power,https://abcnews.go.com/US/wireStory/utility-hawaiian-island-power-64475720,Facebook
abc-news,2019-07-22T12:47:11Z,The Associated Press,"Delaware boaters fall into water, police halt runaway vessel",https://abcnews.go.com/US/wireStory/delaware-boaters-fall-water-police-halt-runaway-vessel-64482568,Facebook
abc-news,2019-07-22T14:01:56Z,The Associated Press,"B.C. police searching for 2 missing, investigating murders",https://abcnews.go.com/International/wireStory/bc-police-searching-missing-investigating-murders-64484060,Facebook
abc-news,2019-07-22T16:06:02Z,The Associated Press,Knight Foundation funding studies on media and democracy,https://abcnews.go.com/Entertainment/wireStory/knight-foundation-funding-studies-media-democracy-64487389,Facebook
abc-news,2019-07-22T18:16:02Z,The Associated Press,Police investigate if Tesla was self-driving during crash,https://abcnews.go.com/US/wireStory/police-investigate-tesla-driving-crash-64491072,Facebook
abc-news,2019-07-22T04:07:51Z,The Associated Press,Puerto Rico prepares for massive protest to expel governor,https://abcnews.go.com/International/wireStory/puerto-rico-prepares-massive-protest-expel-governor-64477069,Facebook
abc-news,2019-07-23T06:18:44Z,The Associated Press,Hundreds of black deaths in Red Summer ignored century later,https://abcnews.go.com/US/wireStory/hundreds-black-deaths-red-summer-century-64501574,Facebook
abc-news,2019-07-22T18:28:04Z,The Associated Press,State says not so fast on fake German heiress' Netflix deal,https://abcnews.go.com/Entertainment/wireStory/state-fast-fake-german-heiress-netflix-deal-64491074,Netflix
abc-news,2019-07-23T10:36:02Z,The Associated Press,AP Top Entertainment News at 6:35 a.m. EDT,https://abcnews.go.com/Entertainment/wireStory/ap-top-entertainment-news-635-edt-64503903,Netflix
abc-news,2019-07-22T23:24:41Z,The Associated Press,"Trump meets with chipmakers on Huawei, other economic issues",https://abcnews.go.com/Technology/wireStory/trump-meets-chipmakers-huawei-economic-issues-64497021,Huawei
