Magazine,Date,Author,Title,Url
ars-technica,2019-07-22T23:28:17Z,Samuel Axon,"Apple releases iOS 12.4, watchOS 5.3, macOS 10.14.6, and more",https://arstechnica.com/gadgets/2019/07/apple-releases-ios-12-4-watchos-5-3-macos-10-14-6-and-more/
ars-technica,2019-07-22T23:00:15Z,Dan Goodin,Explainer for exploiting wormable BlueKeep flaw posted on Github,https://arstechnica.com/information-technology/2019/07/explainer-for-exploiting-wormable-bluekeep-flaw-posted-on-github/
ars-technica,2019-07-22T22:05:09Z,Eric Berger,"Christiopher Columbus Kraft, NASA’s legendary flight director, has died",https://arstechnica.com/science/2019/07/christiopher-columbus-kraft-nasas-legendary-flight-director-has-died/
ars-technica,2019-07-22T19:07:06Z,Ron Amadeo,"Asus’ ROG Phone II features a 120Hz display, a new SoC, and a giant battery",https://arstechnica.com/gadgets/2019/07/asus-rog-phone-ii-features-a-120hz-display-a-new-soc-and-a-giant-battery/
ars-technica,2019-07-22T18:35:08Z,Eric Berger,"With a launch and a hop coming up, SpaceX has a big week ahead",https://arstechnica.com/science/2019/07/with-a-launch-and-a-hop-coming-up-spacex-has-a-big-week-ahead/
ars-technica,2019-07-22T18:20:16Z,Jim Salter,AMD says Nvidia fell for its pricing trap,https://arstechnica.com/gaming/2019/07/amd-says-nvidia-fell-for-its-pricing-trap/
ars-technica,2019-07-22T17:25:14Z,Chris Lee,Silicon LED created by buzzing surface with high-speed electrons,https://arstechnica.com/science/2019/07/silicon-led-created-by-buzzing-surface-with-high-speed-electrons/
ars-technica,2019-07-22T17:05:32Z,Jonathan M. Gitlin,"The Lincoln Aviator uses cameras to read the road, smooth out big potholes",https://arstechnica.com/cars/2019/07/the-lincoln-aviator-uses-cameras-to-read-the-road-smooth-out-big-potholes/
ars-technica,2019-07-22T16:53:07Z,Timothy B. Lee,Google pays $11 million to settle 227 age discrimination claims,https://arstechnica.com/tech-policy/2019/07/google-pays-11-million-to-settle-227-age-discrimination-claims/
ars-technica,2019-07-22T16:43:27Z,Kate Cox,"Equifax to pay $575M for data breach, promises to protect data next time",https://arstechnica.com/tech-policy/2019/07/equifax-to-pay-575m-for-data-breach-promises-to-protect-data-next-time/
ars-technica,2019-07-22T13:08:25Z,Eric Berger,India has launched an ambitious mission to the Moon,https://arstechnica.com/science/2019/07/india-has-launched-an-ambitious-mission-to-the-moon/
ars-technica,2019-07-23T10:00:40Z,Jonathan M. Gitlin,Ford shows off electric F-150 truck by towing a million pounds of train,https://arstechnica.com/cars/2019/07/ford-shows-off-electric-f-150-truck-by-towing-a-million-pounds-of-train/
engadget,2019-07-22T23:48:00Z,Jon Fingas,NYC's automated subway routing had glitches for 'months' before Friday,https://www.engadget.com/2019/07/22/mta-automatic-train-supervision/
engadget,2019-07-22T22:39:00Z,Amrita Khalid,Amazon’s ‘Lord of the Rings’ reportedly has its first cast member,https://www.engadget.com/2019/07/22/lotr-amazon-prime-cast/
engadget,2019-07-22T21:57:00Z,Jon Fingas,Apple in 'advanced' discussions to buy Intel's modem division,https://www.engadget.com/2019/07/22/apple-advanced-talks-to-buy-intel-modem-unit/
engadget,2019-07-22T21:14:00Z,Jon Fingas,Nintendo faces class action lawsuit over Switch controller 'drift',https://www.engadget.com/2019/07/22/class-action-over-switch-joy-con-drift/
engadget,2019-07-22T20:26:00Z,Kris Holt,Uber tests a $25 Pass that covers Eats and transportation,https://www.engadget.com/2019/07/22/uber-subscription-service-eats-jump/
engadget,2019-07-22T19:40:00Z,Amrita Khalid,Sneaker marketplace GOAT has an app just for China,https://www.engadget.com/2019/07/22/sneaker-marketplace-goat-has-an-app-just-for-china/
engadget,2019-07-22T19:21:00Z,Kris Holt,The next 'Overwatch' hero is yet another evil scientist,https://www.engadget.com/2019/07/22/overwatch-hero-31-sigma/
engadget,2019-07-22T19:02:00Z,Amrita Khalid,Netflix unveils new shows aimed at preschoolers,https://www.engadget.com/2019/07/22/netflix-unveils-new-shows-aimed-at-preschoolers/
engadget,2019-07-22T18:46:00Z,Jon Fingas,WhatsApp comes to millions of basic cellphones running KaiOS,https://www.engadget.com/2019/07/22/whatsapp-on-kaios-cellphones/
engadget,2019-07-22T18:30:00Z,Kris Holt,The biggest streaming announcements from Comic-Con,https://www.engadget.com/2019/07/22/comic-con-trailers-streaming-news-marvel-netflix-disney-plus/
engadget,2019-07-22T18:15:00Z,Christine Fisher,Microsoft invests $1 billion in Elon Musk-founded OpenAI,https://www.engadget.com/2019/07/22/microsoft-invests-openai-azure-supercomputing/
engadget,2019-07-22T18:00:00Z,Brian Mastroianni,A mind-controlled robot arm doesn’t have to mean brain implants,https://www.engadget.com/2019/07/22/mind-controlled-robot-arm-no-brain-implants/
engadget,2019-07-22T17:29:00Z,Jon Fingas,"Apple releases iOS 12.4, watchOS 5.3 with Walkie Talkie bug fix",https://www.engadget.com/2019/07/22/apple-releases-ios-12-4-and-watchos-5-3-with-migration-and-walki/
engadget,2019-07-22T17:00:00Z,Daniel Cooper,You might have to be a die-hard fan to get ‘Star Trek: Picard’,https://www.engadget.com/2019/07/22/star-trek-picard-sdcc-2019/
engadget,2019-07-22T16:39:00Z,Christine Fisher,FDA targets teens with e-cigarette prevention ads,https://www.engadget.com/2019/07/22/fda-ecigarette-prevention-ads-teens-vaping/
